date,symbol,open_interest,open_interest_usd
2024-01-08T04:00:00Z,ADAUSDT,119952331,56845409.6609
2024-01-08T08:00:00Z,ADAUSDT,119731476,58569968.0472852
2024-01-08T12:00:00Z,ADAUSDT,116700128,58303383.9488
2024-01-08T16:00:00Z,ADAUSDT,114560079,58608936.4164
2024-01-08T20:00:00Z,ADAUSDT,108790788,58975486.1748
2024-01-09T00:00:00Z,ADAUSDT,107747244,58314239.33620032
2024-01-09T04:00:00Z,ADAUSDT,107778987,56765954.07233937
2024-01-09T08:00:00Z,ADAUSDT,107420405,56866103.35588285
2024-01-09T12:00:00Z,ADAUSDT,107423130,56069132.0937015
2024-01-09T16:00:00Z,ADAUSDT,107290502,54685968.8694
2024-01-09T20:00:00Z,ADAUSDT,105878216,53524308.54643576
2024-01-10T00:00:00Z,ADAUSDT,105964684,54280195.33033832
2024-01-10T04:00:00Z,ADAUSDT,105414626,54075045.63527854
2024-01-10T08:00:00Z,ADAUSDT,106446235,53968744.63569155
2024-01-10T12:00:00Z,ADAUSDT,106414411,54689725.31585527
2024-01-10T16:00:00Z,ADAUSDT,106650728,53971931.90548544
2024-01-10T20:00:00Z,ADAUSDT,105872416,54884260.4544
2024-01-11T00:00:00Z,ADAUSDT,98882808,55972294.07693016
2024-01-11T04:00:00Z,ADAUSDT,100836419,58682370.14757009
2024-01-11T08:00:00Z,ADAUSDT,101642290,58601677.3105322
2024-01-11T12:00:00Z,ADAUSDT,102638526,61510165.2676455
2024-01-11T16:00:00Z,ADAUSDT,101996240,59545404.912
2024-01-11T20:00:00Z,ADAUSDT,104264891,60863532.21194777
2024-01-12T00:00:00Z,ADAUSDT,103543797,60267194.88413568
2024-01-12T04:00:00Z,ADAUSDT,103750760,59920919.435568
2024-01-12T08:00:00Z,ADAUSDT,104818601,60679488.1189
2024-01-12T12:00:00Z,ADAUSDT,106066899,61635475.0089
2024-01-12T16:00:00Z,ADAUSDT,108197300,61304590.18
2024-01-12T20:00:00Z,ADAUSDT,105025463,58656721.0855
2024-01-13T00:00:00Z,ADAUSDT,103102138,56472049.50298684
2024-01-13T04:00:00Z,ADAUSDT,105181704,57394771.79047632
2024-01-13T08:00:00Z,ADAUSDT,103627143,56842717.99354731
2024-01-13T12:00:00Z,ADAUSDT,102993478,56527276.22425828
