Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-21000-P,PUT,21000,365,21425.15668682,0.019836471094811767,375,355,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-22000-C,CALL,22000,300,21425.15668682,0.01983646325710339,310,290,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-22000-P,PUT,22000,872.5,21425.15668682,0.019836455738617042,885,860,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-22500-C,CALL,22500,172.5,21425.15668682,0.019836447906140323,180,165,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-22500-P,PUT,22500,1250,21425.15668682,0.01983644042557596,1260,1240,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-24000-C,CALL,24000,37.5,21425.15668682,0.019836432918157752,45,30,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-24000-P,PUT,24000,2597.5,21426.14906292,0.019836425427190548,2625,2570,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-24500-C,CALL,24500,27.5,21426.14906292,0.01983641798658942,35,20,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-24500-P,PUT,24500,3082.5,21426.14906292,0.01983641045725418,3110,3055,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-25000-C,CALL,25000,22.5,21426.14906292,0.019836402914635665,25,20,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-25000-P,PUT,25000,3575,21426.46945838,0.019836391723175632,3605,3545,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-26000-C,CALL,26000,15,21426.46945838,0.01983638038442015,20,10,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-26000-P,PUT,26000,4565,21426.46945838,0.019836372852642968,4595,4535,NA,NA
