api,pair,interval,from,to,n,missing,id
fapi,EDUUSDT,5m,2023-04-30T12:00:00Z,2024-10-01T13:30:00Z,149779,0,EDUUSDT-fapi-5m
fapi,EGLDUSDT,15m,2020-09-14T07:00:00Z,2024-10-01T13:30:00Z,141915,0,EGLDUSDT-fapi-15m
fapi,EGLDUSDT,1M,2020-09-01T00:00:00Z,2024-10-01T00:00:00Z,50,0,EGLDUSDT-fapi-1M
fapi,EGLDUSDT,1d,2020-09-14T00:00:00Z,2024-10-01T00:00:00Z,1479,0,EGLDUSDT-fapi-1d
fapi,EGLDUSDT,1h,2020-09-14T07:00:00Z,2024-10-01T13:00:00Z,35479,0,EGLDUSDT-fapi-1h
fapi,EGLDUSDT,1w,2020-09-14T00:00:00Z,2024-09-30T00:00:00Z,212,0,EGLDUSDT-fapi-1w
fapi,EGLDUSDT,30m,2020-09-14T07:00:00Z,2024-10-01T13:30:00Z,70958,0,EGLDUSDT-fapi-30m
fapi,EGLDUSDT,4h,2020-09-14T04:00:00Z,2024-10-01T12:00:00Z,8871,0,EGLDUSDT-fapi-4h
fapi,EGLDUSDT,5m,2020-09-14T07:00:00Z,2024-10-01T13:30:00Z,425743,0,EGLDUSDT-fapi-5m
fapi,ETHBTC,15m,2023-04-26T12:00:00Z,2024-10-01T13:30:00Z,50311,0,ETHBTC-fapi-15m
fapi,ETHBTC,1M,2023-04-01T00:00:00Z,2024-10-01T00:00:00Z,19,0,ETHBTC-fapi-1M
fapi,ETHBTC,1d,2023-04-26T00:00:00Z,2024-10-01T00:00:00Z,525,0,ETHBTC-fapi-1d
fapi,ETHBTC,1h,2023-04-26T12:00:00Z,2024-10-01T13:00:00Z,12578,0,ETHBTC-fapi-1h
fapi,ETHBTC,1w,2023-04-24T00:00:00Z,2024-09-30T00:00:00Z,76,0,ETHBTC-fapi-1w
fapi,ETHBTC,30m,2023-04-26T12:00:00Z,2024-10-01T13:30:00Z,25156,0,ETHBTC-fapi-30m
fapi,ETHBTC,4h,2023-04-26T12:00:00Z,2024-10-01T12:00:00Z,3145,0,ETHBTC-fapi-4h
fapi,ETHUSDT,15m,2019-11-27T07:45:00Z,2024-10-01T13:30:00Z,169944,0,ETHUSDT-fapi-15m
fapi,ETHUSDT,1M,2019-11-01T00:00:00Z,2024-10-01T00:00:00Z,60,0,ETHUSDT-fapi-1M
fapi,ETHUSDT,1d,2019-11-27T00:00:00Z,2024-10-01T00:00:00Z,1771,0,ETHUSDT-fapi-1d
fapi,ETHUSDT,1h,2019-11-27T07:00:00Z,2024-10-01T13:00:00Z,42487,0,ETHUSDT-fapi-1h
fapi,ETHUSDT,1w,2019-11-25T00:00:00Z,2024-09-30T00:00:00Z,254,0,ETHUSDT-fapi-1w
fapi,ETHUSDT,30m,2019-11-27T07:30:00Z,2024-10-01T13:30:00Z,84973,0,ETHUSDT-fapi-30m
fapi,ETHUSDT,4h,2019-11-27T04:00:00Z,2024-10-01T12:00:00Z,10623,0,ETHUSDT-fapi-4h
fapi,ETHUSDT,5m,2019-11-27T07:45:00Z,2024-10-01T13:30:00Z,509830,0,ETHUSDT-fapi-5m
fapi,INJUSDT,15m,2022-08-17T02:45:00Z,2024-10-01T13:30:00Z,74540,0,INJUSDT-fapi-15m
fapi,INJUSDT,1M,2022-08-01T00:00:00Z,2024-10-01T00:00:00Z,27,0,INJUSDT-fapi-1M
fapi,INJUSDT,1d,2022-08-17T00:00:00Z,2024-10-01T00:00:00Z,777,0,INJUSDT-fapi-1d
fapi,INJUSDT,1h,2022-08-17T02:00:00Z,2024-10-01T13:00:00Z,18636,0,INJUSDT-fapi-1h
fapi,INJUSDT,1w,2022-08-15T00:00:00Z,2024-09-30T00:00:00Z,112,0,INJUSDT-fapi-1w
fapi,INJUSDT,30m,2022-08-17T02:30:00Z,2024-10-01T13:30:00Z,37271,0,INJUSDT-fapi-30m
fapi,INJUSDT,4h,2022-08-17T00:00:00Z,2024-10-01T12:00:00Z,4660,0,INJUSDT-fapi-4h
fapi,INJUSDT,5m,2022-08-17T02:45:00Z,2024-10-01T13:30:00Z,223618,0,INJUSDT-fapi-5m
fapi,JUPUSDT,15m,2024-01-31T18:30:00Z,2024-10-01T13:30:00Z,23405,0,JUPUSDT-fapi-15m
fapi,JUPUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,JUPUSDT-fapi-1M
fapi,JUPUSDT,1d,2024-01-31T00:00:00Z,2024-10-01T00:00:00Z,245,0,JUPUSDT-fapi-1d
fapi,JUPUSDT,1h,2024-01-31T18:00:00Z,2024-10-01T13:00:00Z,5852,0,JUPUSDT-fapi-1h
fapi,JUPUSDT,1w,2024-01-29T00:00:00Z,2024-09-30T00:00:00Z,36,0,JUPUSDT-fapi-1w
fapi,JUPUSDT,30m,2024-01-31T18:30:00Z,2024-10-01T13:30:00Z,11703,0,JUPUSDT-fapi-30m
fapi,JUPUSDT,4h,2024-01-31T16:00:00Z,2024-10-01T12:00:00Z,1464,0,JUPUSDT-fapi-4h
fapi,JUPUSDT,5m,2024-01-31T18:30:00Z,2024-10-01T13:30:00Z,70213,0,JUPUSDT-fapi-5m
fapi,MANTAUSDT,15m,2024-01-18T14:00:00Z,2024-10-01T13:30:00Z,24671,0,MANTAUSDT-fapi-15m
fapi,MANTAUSDT,1M,2024-01-01T00:00:00Z,2024-10-01T00:00:00Z,10,0,MANTAUSDT-fapi-1M
